Date,Product,Region,Units_Sold,Unit_Price,Customer_Rating,Discount_Applied,Revenue
2024-02-17,Mouse,South,37,436.58,5,0.15,13730.440999999999
2024-02-18,Monitor,East,23,1225.47,5,0.0,28185.81
2024-02-18,Laptop,South,47,949.68,5,0.15,37939.716
2024-02-19,Monitor,East,13,239.64,1,0.15,2648.0219999999995
2024-02-20,Desktop,East,18,1460.07,4,0.15,22339.070999999996
2024-02-20,Desktop,West,46,269.34,1,0.1,11150.676
2024-02-20,Printer,South,8,218.35,4,0.15,1484.78
2024-02-21,Desktop,Central,28,683.85,4,0.15,16275.63
2024-02-21,Desktop,East,5,1769.18,3,0.0,8845.9
2024-02-22,Laptop,West,16,1879.55,4,0.05,28569.159999999996
2024-02-22,Laptop,East,19,1018.74,5,0.1,17420.454
2024-02-22,Tablet,South,38,120.96,5,0.1,4136.831999999999
2024-02-22,Desktop,North,39,1347.8,3,0.05,49935.99
2024-02-23,Phone,Central,16,740.31,3,0.0,11844.96
2024-02-23,Phone,East,37,1620.68,1,0.05,56966.902
2024-02-23,Phone,East,27,1097.81,2,0.2,23712.696
2024-02-23,Printer,South,45,1672.32,3,0.05,71491.68
2024-02-23,Tablet,West,24,1853.24,5,0.0,44477.76
2024-02-24,Keyboard,North,39,441.4,5,0.2,13771.68
2024-02-27,Monitor,Central,12,1025.42,5,0.15,10459.284
2024-02-27,Keyboard,East,41,1004.43,5,0.1,37063.467
2024-02-27,Mouse,East,2,699.27,5,0.15,1188.759
2024-02-27,Mouse,South,18,909.56,3,0.15,13916.267999999998
2024-02-28,Phone,East,29,1833.49,5,0.1,47854.089
2024-02-29,Keyboard,North,24,343.95,5,0.15,7016.579999999999
2024-02-29,Keyboard,Central,41,890.69,4,0.1,32866.461
2024-03-02,Monitor,North,25,809.18,5,0.05,19218.024999999998
2024-03-02,Phone,South,37,1415.99,3,0.05,49772.0485
2024-03-03,Desktop,North,49,1754.43,1,0.1,77370.36300000001
2024-03-03,Printer,South,17,1646.54,5,0.15,23792.503
2024-03-03,Tablet,West,4,1079.63,2,0.2,3454.8160000000007
2024-03-05,Laptop,East,1,1974.6,3,0.1,1777.1399999999999
2024-03-06,Printer,North,38,838.26,5,0.05,30261.185999999998
2024-03-08,Phone,North,36,955.7,5,0.2,27524.160000000003
2024-03-09,Tablet,North,20,1917.35,4,0.05,36429.65
2024-03-09,Tablet,Central,9,1084.98,4,0.05,9276.579
2024-03-12,Phone,South,18,1952.11,2,0.15,29867.282999999996
2024-03-15,Desktop,Central,20,1336.67,3,0.05,25396.73
2024-03-16,Tablet,South,31,1392.43,1,0.15,36690.5305
2024-03-21,Monitor,Central,32,617.99,5,0.15,16809.328
2024-03-21,Laptop,West,25,548.5,2,0.1,12341.25
2024-03-21,Laptop,West,37,1367.04,2,0.0,50580.479999999996
2024-03-26,Keyboard,North,12,1461.01,3,0.0,17532.12
2024-03-26,Laptop,South,32,852.73,1,0.1,24558.624
2024-03-28,Desktop,North,26,978.98,3,0.15,21635.458
2024-03-29,Tablet,Central,37,782.54,5,0.05,27506.281
2024-03-29,Printer,East,49,1352.77,4,0.2,53028.584
2024-04-01,Printer,Central,9,554.44,4,0.0,4989.960000000001
2024-04-01,Printer,West,33,1500.98,5,0.2,39625.872
2024-04-01,Tablet,South,49,1569.6,4,0.2,61528.32
2024-04-03,Mouse,East,7,771.18,5,0.05,5128.346999999999
2024-04-04,Tablet,East,37,1631.26,1,0.0,60356.62
2024-04-05,Phone,South,18,768.08,1,0.0,13825.44
2024-04-05,Phone,South,15,173.01,3,0.15,2205.8774999999996
2024-04-05,Desktop,North,36,1323.42,4,0.0,47643.12
2024-04-05,Monitor,North,47,867.87,4,0.05,38750.3955
2024-04-06,Mouse,West,45,622.13,2,0.2,22396.68
2024-04-06,Keyboard,East,41,675.94,3,0.2,22170.832000000002
2024-04-07,Printer,East,38,1810.04,3,0.2,55025.21600000001
2024-04-08,Laptop,North,49,1420.77,4,0.15,59175.070499999994
2024-04-08,Phone,South,41,714.41,2,0.05,27826.269499999995
2024-04-08,Phone,South,22,1159.79,3,0.15,21688.072999999997
2024-04-08,Keyboard,West,39,1398.17,4,0.1,49075.76700000001
2024-04-08,Tablet,North,17,496.17,2,0.15,7169.656499999999
2024-04-08,Keyboard,East,20,1601.06,4,0.1,28819.079999999998
2024-04-09,Tablet,North,47,1749.72,4,0.2,65789.472
2024-04-09,Laptop,Central,22,430.81,3,0.15,8056.147
2024-04-09,Tablet,East,12,1286.86,3,0.15,13125.972
2024-04-10,Desktop,West,25,1493.87,1,0.2,29877.4
2024-04-10,Tablet,Central,40,1259.63,1,0.15,42827.420000000006
2024-04-10,Laptop,Central,25,1868.8,4,0.05,44384.0
2024-04-12,Phone,East,22,593.65,3,0.05,12407.284999999998
2024-04-12,Mouse,Central,16,1155.19,2,0.2,14786.432
2024-04-12,Tablet,Central,15,1392.43,1,0.05,19842.1275
2024-04-13,Printer,West,15,1144.11,1,0.05,16303.567499999997
2024-04-13,Desktop,North,36,716.23,4,0.2,20627.424
2024-04-15,Phone,South,33,1141.12,3,0.2,30125.568
2024-04-15,Desktop,West,45,1674.88,1,0.2,60295.68000000001
2024-04-16,Laptop,South,25,1993.03,4,0.0,49825.75
2024-04-17,Printer,East,8,1014.55,3,0.05,7710.579999999999
2024-04-17,Desktop,North,37,1369.6,5,0.1,45607.68
2024-04-21,Mouse,South,34,1983.39,5,0.1,60691.73400000001
2024-04-21,Laptop,West,12,1357.49,3,0.1,14660.892000000002
2024-04-22,Monitor,Central,45,1460.69,4,0.2,52584.840000000004
2024-04-22,Printer,West,17,691.48,4,0.05,11167.402
2024-04-22,Phone,West,3,331.58,2,0.0,994.74
2024-04-22,Phone,North,32,1112.62,5,0.0,35603.84
2024-04-22,Tablet,South,48,587.88,1,0.1,25396.415999999997
2024-04-23,Desktop,Central,27,857.46,4,0.0,23151.420000000002
2024-04-25,Monitor,West,19,253.75,5,0.0,4821.25
2024-04-25,Mouse,West,4,1772.15,2,0.1,6379.740000000001
2024-04-25,Laptop,West,42,1113.84,2,0.1,42103.152
2024-04-26,Laptop,Central,33,972.95,4,0.0,32107.350000000002
2024-04-27,Monitor,West,42,976.81,3,0.2,32820.816
2024-04-29,Phone,East,29,544.05,2,0.05,14988.577499999998
2024-04-29,Mouse,North,33,1027.66,5,0.0,33912.780000000006
2024-04-30,Monitor,South,12,1202.33,3,0.2,11542.368
2024-05-01,Phone,East,26,237.18,2,0.2,4933.344000000001
2024-05-01,Laptop,East,38,1407.46,2,0.15,45460.958
2024-05-02,Laptop,Central,45,533.35,4,0.0,24000.75
2024-05-03,Monitor,Central,23,905.1,1,0.05,19776.434999999998
2024-05-03,Desktop,West,20,308.5,1,0.1,5553.0
2024-05-04,Tablet,East,21,681.88,2,0.05,13603.506
2024-05-05,Mouse,West,34,1813.35,3,0.15,52405.814999999995
2024-05-05,Laptop,South,6,587.47,4,0.15,2996.097
2024-05-06,Phone,West,22,1915.14,3,0.05,40026.426
2024-05-06,Monitor,South,17,149.04,5,0.2,2026.944
2024-05-07,Monitor,North,33,545.82,2,0.05,17111.457000000002
2024-05-07,Monitor,Central,34,1317.85,1,0.1,40326.21
2024-05-07,Laptop,South,29,1253.48,5,0.2,29080.736
2024-05-07,Monitor,South,28,1086.26,3,0.2,24332.224000000002
2024-05-08,Desktop,North,39,1595.12,4,0.05,59099.19599999999
2024-05-08,Laptop,East,32,1229.51,1,0.2,31475.456000000002
2024-05-08,Printer,West,14,1749.04,4,0.1,22037.904
2024-05-09,Keyboard,East,24,1929.56,1,0.1,41678.49600000001
2024-05-09,Desktop,South,34,1394.12,3,0.15,40290.06799999999
2024-05-10,Phone,North,7,1410.1,3,0.15,8390.095
2024-05-10,Mouse,South,31,443.86,5,0.15,11695.711
2024-05-10,Laptop,North,16,908.44,2,0.0,14535.04
2024-05-10,Mouse,East,15,1086.21,5,0.1,14663.835000000001
2024-05-13,Mouse,South,9,531.81,2,0.0,4786.289999999999
2024-05-14,Desktop,North,35,1035.33,4,0.15,30801.067499999994
2024-05-14,Printer,East,29,1611.35,2,0.05,44392.69249999999
2024-05-14,Laptop,West,15,1942.83,1,0.15,24771.082499999997
2024-05-15,Monitor,East,30,964.01,4,0.1,26028.27
2024-05-16,Keyboard,West,5,1915.5,4,0.0,9577.5
2024-05-18,Tablet,North,18,1028.81,3,0.2,14814.864
2024-05-19,Desktop,South,6,620.91,3,0.2,2980.3680000000004
2024-05-21,Desktop,North,20,1420.57,3,0.0,28411.399999999998
2024-05-22,Tablet,North,35,1548.34,4,0.2,43353.52
2024-05-22,Printer,South,36,1968.99,2,0.15,60251.094
2024-05-23,Laptop,Central,41,261.1,3,0.0,10705.1
2024-05-23,Monitor,West,43,1583.0,2,0.1,61262.1
2024-05-23,Printer,North,40,1463.44,1,0.2,46830.08000000001
2024-05-23,Tablet,South,22,1923.2,4,0.05,40194.88
2024-05-24,Laptop,East,32,286.36,1,0.0,9163.52
2024-05-26,Mouse,East,32,530.65,1,0.2,13584.64
2024-05-26,Monitor,North,18,1739.31,5,0.2,25046.064
2024-05-26,Printer,West,40,1704.28,2,0.0,68171.2
2024-05-26,Phone,North,46,1571.8,1,0.1,65072.520000000004
2024-05-26,Laptop,South,29,1880.22,4,0.0,54526.38
2024-05-27,Monitor,North,30,1214.56,5,0.1,32793.119999999995
2024-05-27,Phone,East,36,511.81,1,0.2,14740.128
2024-05-29,Monitor,South,7,757.28,4,0.2,4240.768
2024-05-29,Laptop,South,18,1285.4,1,0.0,23137.2
2024-05-30,Keyboard,North,46,1976.79,2,0.15,77292.489
2024-05-30,Laptop,South,25,229.53,3,0.1,5164.425
2024-05-31,Desktop,West,30,228.46,2,0.1,6168.42
2024-05-31,Keyboard,North,5,1861.37,4,0.1,8376.164999999999
2024-05-31,Laptop,Central,10,1511.14,1,0.15,12844.69
2024-06-01,Phone,Central,11,1067.9,4,0.0,11746.900000000001
2024-06-01,Mouse,Central,17,1488.24,1,0.1,22770.072000000004
2024-06-02,Keyboard,South,32,179.18,3,0.0,5733.76
2024-06-03,Printer,East,29,356.82,1,0.2,8278.224
2024-06-05,Laptop,South,39,1063.75,4,0.0,41486.25
2024-06-06,Laptop,South,10,963.32,4,0.2,7706.560000000001
2024-06-06,Monitor,North,11,1125.92,2,0.2,9908.096000000001
2024-06-06,Keyboard,East,11,1044.23,4,0.05,10912.2035
2024-06-08,Phone,East,28,182.48,4,0.0,5109.44
2024-06-08,Laptop,Central,18,1134.53,4,0.0,20421.54
2024-06-08,Monitor,South,26,1875.43,3,0.15,41447.003
2024-06-08,Mouse,South,30,262.75,1,0.0,7882.5
2024-06-09,Printer,South,1,1420.41,5,0.1,1278.3690000000001
2024-06-09,Monitor,North,12,283.69,3,0.1,3063.852
2024-06-09,Desktop,North,22,1126.02,2,0.2,19817.952
2024-06-09,Laptop,South,14,1477.99,3,0.0,20691.86
2024-06-10,Laptop,Central,34,418.48,1,0.15,12094.072
2024-06-11,Laptop,West,14,1411.01,5,0.05,18766.432999999997
2024-06-11,Phone,North,25,365.34,5,0.15,7763.474999999999
2024-06-13,Monitor,North,34,471.98,5,0.05,15244.954
2024-06-15,Printer,North,34,946.08,3,0.1,28950.048000000003
2024-06-17,Phone,Central,29,1118.07,4,0.15,27560.425499999998
2024-06-18,Phone,Central,29,935.07,2,0.05,25761.1785
2024-06-18,Keyboard,Central,13,952.52,1,0.2,9906.208
2024-06-18,Keyboard,East,18,500.26,5,0.05,8554.446
2024-06-18,Keyboard,North,38,469.78,3,0.15,15173.893999999998
2024-06-19,Tablet,Central,20,1615.85,5,0.05,30701.149999999998
2024-06-20,Monitor,North,20,1079.79,2,0.1,19436.22
2024-06-20,Mouse,South,46,1044.63,4,0.2,38442.384000000005
2024-06-20,Phone,East,8,562.62,2,0.1,4050.864
2024-06-20,Tablet,Central,16,1631.39,4,0.1,23492.016000000003
2024-06-21,Mouse,North,14,973.62,3,0.05,12949.145999999999
2024-06-22,Monitor,South,44,432.19,2,0.0,19016.36
2024-06-23,Tablet,South,35,349.98,1,0.1,11024.37
2024-06-24,Desktop,Central,47,389.59,3,0.2,14648.584
2024-06-24,Monitor,North,7,692.45,4,0.1,4362.435
2024-06-27,Desktop,East,41,873.13,1,0.05,34008.4135
2024-06-28,Keyboard,South,31,954.59,1,0.1,26633.061
2024-06-28,Monitor,Central,25,490.81,3,0.05,11656.7375
2024-06-28,Keyboard,East,37,1023.16,4,0.05,35964.07399999999
2024-06-29,Laptop,South,16,1749.31,3,0.1,25190.064
2024-07-02,Laptop,South,43,1779.99,5,0.15,65058.63450000001
2024-07-03,Keyboard,North,8,236.96,2,0.05,1800.896
2024-07-04,Monitor,Central,13,1993.72,2,0.0,25918.36
2024-07-05,Keyboard,South,42,1368.34,5,0.1,51723.252
2024-07-05,Desktop,East,24,716.71,4,0.1,15480.936000000002
2024-07-05,Desktop,West,29,885.74,4,0.2,20549.168
2024-07-06,Laptop,West,6,678.89,1,0.05,3869.673
2024-07-06,Laptop,East,30,1874.36,5,0.2,44984.64
2024-07-06,Printer,West,31,1283.64,4,0.15,33823.914000000004
2024-07-07,Monitor,North,3,1266.47,3,0.15,3229.4984999999997
2024-07-07,Mouse,North,25,1335.62,3,0.1,30051.45
2024-07-08,Printer,Central,8,1268.92,4,0.1,9136.224
2024-07-08,Tablet,East,3,748.37,5,0.0,2245.11
2024-07-08,Mouse,East,39,1749.72,1,0.15,58003.218
2024-07-08,Monitor,South,39,1492.91,3,0.2,46578.79200000001
2024-07-09,Mouse,Central,5,865.66,4,0.1,3895.4700000000003
2024-07-09,Mouse,East,2,1272.58,2,0.1,2290.644
2024-07-10,Printer,East,6,226.64,3,0.05,1291.848
2024-07-10,Tablet,Central,22,1199.48,1,0.15,22430.276
2024-07-10,Keyboard,West,2,854.26,5,0.05,1623.0939999999998
2024-07-12,Laptop,North,26,1919.49,4,0.1,44916.066
2024-07-13,Tablet,Central,11,1861.64,1,0.0,20478.04
2024-07-14,Desktop,South,24,1544.55,1,0.05,35215.74
2024-07-16,Keyboard,East,25,1464.43,5,0.2,29288.600000000002
2024-07-16,Printer,South,33,1302.99,2,0.0,42998.67
2024-07-16,Desktop,West,7,771.5,4,0.1,4860.45
2024-07-17,Tablet,Central,14,144.91,3,0.2,1622.9920000000002
2024-07-19,Keyboard,Central,49,278.41,5,0.2,10913.672000000002
2024-07-19,Monitor,Central,31,1662.97,4,0.15,43819.2595
2024-07-20,Tablet,North,30,169.68,2,0.0,5090.400000000001
2024-07-21,Phone,West,13,1656.46,1,0.15,18303.882999999998
2024-07-22,Phone,North,20,764.44,3,0.2,12231.04
2024-07-24,Phone,North,22,962.2,2,0.1,19051.56
2024-07-25,Laptop,West,10,1349.91,4,0.15,11474.235
2024-07-26,Monitor,West,47,481.77,4,0.1,20378.871
2024-07-26,Mouse,West,49,612.52,2,0.2,24010.784
2024-07-26,Monitor,East,28,231.91,5,0.1,5844.132
2024-07-31,Printer,Central,29,312.65,4,0.05,8613.507499999998
2024-08-01,Monitor,South,11,1750.92,2,0.15,16371.102000000003
2024-08-02,Keyboard,East,32,1630.77,1,0.1,46966.176
2024-08-02,Mouse,North,41,158.24,1,0.2,5190.272000000001
2024-08-02,Phone,West,2,291.99,2,0.2,467.184
2024-08-03,Tablet,Central,43,1692.42,5,0.2,58219.248
2024-08-04,Monitor,West,47,332.01,1,0.0,15604.47
2024-08-05,Mouse,East,16,1571.84,4,0.15,21377.023999999998
2024-08-05,Mouse,East,35,1442.88,2,0.1,45450.72
2024-08-05,Phone,East,20,1351.88,5,0.05,25685.72
2024-08-05,Monitor,West,40,1145.43,3,0.1,41235.48
2024-08-07,Keyboard,North,28,123.01,1,0.05,3272.0660000000003
2024-08-07,Phone,East,40,444.73,4,0.1,16010.28
2024-08-07,Desktop,North,22,1846.84,2,0.1,36567.432
2024-08-09,Tablet,West,23,721.36,3,0.05,15761.715999999999
2024-08-09,Tablet,East,41,1552.31,5,0.0,63644.71
2024-08-10,Monitor,North,45,330.63,1,0.1,13390.515000000001
2024-08-10,Printer,East,25,1737.83,1,0.1,39101.175
2024-08-11,Monitor,West,45,303.07,1,0.15,11592.4275
2024-08-12,Keyboard,West,33,1177.89,5,0.05,36926.851500000004
2024-08-12,Mouse,East,25,822.37,3,0.0,20559.25
2024-08-12,Phone,North,24,114.37,2,0.15,2333.148
2024-08-13,Tablet,West,17,1585.85,3,0.1,24263.504999999997
2024-08-14,Phone,North,34,157.74,4,0.05,5095.0019999999995
2024-08-14,Monitor,South,17,1988.86,2,0.15,28739.026999999995
2024-08-16,Tablet,Central,30,849.5,4,0.1,22936.5
2024-08-17,Laptop,South,26,1089.82,3,0.2,22668.256
2024-08-18,Printer,East,9,148.72,3,0.0,1338.48
2024-08-18,Printer,West,6,1177.33,4,0.05,6710.780999999999
2024-08-18,Keyboard,Central,49,1368.43,3,0.1,60347.763000000006
2024-08-18,Laptop,South,46,1438.89,2,0.2,52951.152
2024-08-20,Printer,Central,9,1255.02,3,0.05,10730.421
2024-08-20,Printer,East,10,464.55,2,0.2,3716.4
2024-08-20,Printer,Central,6,292.7,1,0.1,1580.58
2024-08-20,Tablet,Central,44,1868.13,3,0.05,78087.834
2024-08-21,Printer,Central,38,1806.26,4,0.05,65205.986000000004
2024-08-23,Phone,South,48,901.27,1,0.15,36771.816
2024-08-24,Monitor,East,9,1634.91,1,0.1,13242.771
2024-08-24,Monitor,South,29,208.47,2,0.2,4836.504
2024-08-24,Monitor,West,40,1800.72,5,0.1,64825.920000000006
2024-08-25,Mouse,South,11,663.42,1,0.0,7297.62
2024-08-25,Mouse,South,32,1861.3,1,0.15,50627.36
2024-08-26,Laptop,Central,26,583.87,1,0.05,14421.589
2024-08-27,Phone,West,5,550.05,5,0.1,2475.225
2024-08-28,Keyboard,East,5,1503.05,1,0.2,6012.200000000001
2024-08-29,Phone,West,26,843.05,5,0.0,21919.3
2024-08-30,Phone,East,3,796.28,3,0.15,2030.5140000000001
2024-08-31,Laptop,Central,17,551.33,2,0.1,8435.349
2024-09-02,Monitor,West,12,661.35,4,0.05,7539.39
2024-09-02,Tablet,Central,46,921.75,1,0.1,38160.450000000004
2024-09-03,Printer,West,44,300.76,5,0.2,10586.752
2024-09-03,Tablet,North,39,1073.22,2,0.0,41855.58
2024-09-03,Laptop,South,48,1907.67,2,0.2,73254.528
2024-09-06,Mouse,East,11,256.13,1,0.0,2817.43
2024-09-06,Desktop,South,19,1268.52,3,0.2,19281.504
2024-09-08,Printer,West,17,913.58,1,0.0,15530.86
2024-09-08,Keyboard,North,10,959.18,2,0.0,9591.8
2024-09-08,Mouse,North,35,1212.17,5,0.15,36062.0575
2024-09-08,Tablet,East,39,419.23,3,0.05,15532.4715
2024-09-09,Keyboard,Central,3,429.7,3,0.2,1031.28
2024-09-09,Tablet,Central,9,1811.33,4,0.2,13041.576000000001
2024-09-10,Phone,East,27,1372.03,3,0.2,29635.847999999998
2024-09-10,Phone,North,48,1198.94,2,0.15,48916.752
2024-09-10,Mouse,West,3,1354.58,5,0.0,4063.74
2024-09-11,Mouse,South,25,502.89,2,0.15,10686.4125
2024-09-11,Monitor,East,29,848.34,4,0.2,19681.488
2024-09-12,Phone,South,38,757.59,4,0.05,27348.999
2024-09-13,Tablet,North,4,1385.38,1,0.0,5541.52
2024-09-13,Monitor,West,45,1107.57,3,0.15,42364.55249999999
2024-09-14,Tablet,North,23,1976.53,5,0.0,45460.19
2024-09-15,Phone,North,15,1553.28,5,0.15,19804.32
2024-09-15,Printer,South,43,958.36,2,0.05,39149.006
2024-09-16,Monitor,South,42,918.69,4,0.2,30867.984000000004
2024-09-17,Monitor,North,1,685.07,5,0.15,582.3095000000001
2024-09-18,Printer,West,41,360.51,4,0.15,12563.7735
2024-09-19,Monitor,South,41,868.21,2,0.0,35596.61
2024-09-20,Monitor,West,4,348.66,1,0.15,1185.444
2024-09-20,Tablet,Central,33,1561.68,1,0.2,41228.352000000006
2024-09-20,Desktop,North,44,209.78,1,0.1,8307.288
2024-09-20,Mouse,North,34,1535.01,3,0.1,46971.306
2024-09-21,Desktop,South,23,1941.88,1,0.0,44663.240000000005
2024-09-23,Printer,Central,13,1043.86,1,0.1,12213.161999999998
2024-09-24,Tablet,West,5,1625.75,4,0.15,6909.4375
2024-09-24,Printer,East,4,943.13,1,0.2,3018.016
2024-09-25,Keyboard,Central,28,1026.92,4,0.1,25878.384000000002
2024-09-26,Mouse,North,13,1499.16,5,0.2,15591.264000000003
2024-09-27,Desktop,Central,30,1299.96,3,0.2,31199.040000000005
2024-09-27,Desktop,West,8,534.06,5,0.2,3417.984
2024-09-27,Monitor,North,11,886.85,2,0.2,7804.280000000001
2024-09-27,Laptop,West,32,1703.92,2,0.0,54525.44
2024-09-28,Desktop,East,11,1309.67,3,0.05,13686.0515
2024-09-29,Laptop,West,8,1929.92,3,0.2,12351.488000000001
2024-09-30,Desktop,North,3,1078.15,4,0.15,2749.2825000000003
2024-10-01,Phone,Central,33,716.88,1,0.2,18925.632
2024-10-03,Monitor,East,12,760.39,2,0.1,8212.212000000001
2024-10-03,Laptop,West,7,933.37,5,0.1,5880.231000000001
2024-10-03,Monitor,North,35,1446.61,5,0.2,40505.08
2024-10-04,Tablet,East,6,385.32,1,0.05,2196.324
2024-10-05,Monitor,East,26,1794.96,1,0.0,46668.96
2024-10-06,Laptop,Central,44,656.36,1,0.05,27435.847999999998
2024-10-06,Printer,North,36,880.95,3,0.2,25371.36
2024-10-06,Monitor,East,29,1653.15,3,0.1,43147.215000000004
2024-10-06,Keyboard,East,44,174.75,1,0.1,6920.1
2024-10-06,Monitor,North,16,1054.88,4,0.0,16878.08
2024-10-07,Monitor,Central,49,351.8,3,0.2,13790.560000000001
2024-10-09,Printer,South,29,342.66,2,0.2,7949.712000000001
2024-10-09,Mouse,Central,46,302.53,5,0.15,11828.922999999999
2024-10-09,Mouse,East,34,857.76,2,0.15,24789.264
2024-10-10,Mouse,South,39,599.91,4,0.1,21056.841
2024-10-10,Desktop,East,4,239.07,2,0.0,956.28
2024-10-10,Monitor,West,35,1421.39,2,0.2,39798.920000000006
2024-10-11,Mouse,North,8,235.39,3,0.2,1506.496
2024-10-12,Desktop,North,41,821.59,5,0.2,26948.152000000002
2024-10-12,Monitor,Central,13,168.7,3,0.15,1864.1349999999998
2024-10-14,Desktop,East,22,676.22,5,0.2,11901.472000000002
2024-10-14,Desktop,West,8,378.11,2,0.1,2722.3920000000003
2024-10-15,Tablet,West,26,286.95,4,0.1,6714.63
2024-10-15,Phone,West,48,156.95,5,0.1,6780.24
2024-10-15,Mouse,Central,35,1536.71,1,0.0,53784.85
2024-10-16,Tablet,North,13,825.69,5,0.15,9123.8745
2024-10-16,Phone,North,46,1697.66,3,0.05,74187.742
2024-10-19,Desktop,South,6,1894.77,2,0.0,11368.619999999999
2024-10-20,Laptop,North,42,1260.86,1,0.0,52956.119999999995
2024-10-20,Phone,East,21,1747.36,3,0.0,36694.56
2024-10-21,Keyboard,Central,13,1124.41,1,0.0,14617.330000000002
2024-10-22,Keyboard,East,46,491.1,4,0.0,22590.600000000002
2024-10-24,Keyboard,Central,27,359.24,5,0.05,9214.506
2024-10-25,Laptop,Central,27,1935.06,4,0.2,41797.296
2024-10-27,Laptop,South,5,381.85,3,0.2,1527.4
2024-10-28,Desktop,West,47,1768.15,2,0.1,74792.74500000001
2024-10-30,Phone,North,34,774.49,2,0.2,21066.128
2024-10-30,Monitor,East,7,1363.33,4,0.15,8111.813499999999
2024-10-30,Printer,East,29,266.52,4,0.2,6183.264
2024-10-30,Desktop,Central,18,1001.8,3,0.0,18032.399999999998
2024-10-30,Tablet,West,35,1476.24,4,0.2,41334.72
2024-10-31,Keyboard,North,47,1784.55,2,0.1,75486.465
2024-11-01,Mouse,South,20,1277.22,4,0.0,25544.4
2024-11-02,Phone,Central,15,1330.2,5,0.15,16960.05
2024-11-02,Monitor,North,24,1723.33,5,0.15,35155.932
2024-11-03,Phone,Central,13,1319.75,1,0.05,16298.912499999999
2024-11-03,Tablet,North,16,1622.92,1,0.15,22071.712
2024-11-04,Tablet,West,17,804.97,4,0.2,10947.592
